18855629	Tue Oct 23 00:30:09 +0000 2012	en	RT @usacycling: Our 2012 nat'l championships are in the books. Looking forward to starting 2013 off with #CXnats in Madison! http:\/\/t.co ...
188590108	Tue Oct 23 02:54:23 +0000 2012	en	RT @ComicBTherapy: Kevin Smith Will Write New Batman Mini-Series In 2013! http:\/\/t.co\/7EYwF6Hx #comicbooknews #comicbooks #featured
186872342	Tue Oct 23 03:05:22 +0000 2012	en	RT @LottsaBooks 2013 Writer's Market by Robert Lee Brewer http:\/\/t.co\/fB8n1Xaz #authors #writers #books
154583354	Tue Oct 23 03:57:10 +0000 2012	en	QuickBooks Canada #Discount: Save 20% off QuickBooks 2013 Pro and Premier Accounting Softwa... http:\/\/t.co\/FIei9Ng7
50624953	Tue Oct 23 04:04:25 +0000 2012	en	RT @supercinemaent: SRK books 2013's Eid and X'mas from his film releases.
250214627	Tue Oct 23 07:03:49 +0000 2012	en	Halo Forerunner books 1 &amp; 2(Cryptum &amp; Primordium)now available.Author Greg Bear, Book 3 available Jan 2013
29680782	Tue Oct 23 07:04:01 +0000 2012	en	New Business Blog: The One Day Sale is back! Get QuickBooks Pro 2013 for an unbelievable price... http:\/\/t.co\/Xcm29WKQ #business #webdesign
16562571	Tue Oct 23 09:16:58 +0000 2012	en	Didn't realise 2 most anticipated books of 2013, @AnneLyle 's Merchant of Dreams and @garethlpowell 's Ack Ack Macaque are out the same DAY
179077152	Tue Oct 23 09:22:34 +0000 2012	en	Springer: 55.000 ebooks + 100.000 (\u03c0\u03b1\u03bb\u03b9\u03cc\u03c4\u03b5\u03c1\u03b1) ebooks \u03c4\u03bf 2013, \u03c4\u03bf 2015 8-10.000\/\u03c7\u03c1\u03cc\u03bd\u03bf #ebookgr
21735294	Tue Oct 23 09:28:03 +0000 2012	en	Ruby Jean Wilson Books the Spring 2013 Marc Jacobs Campaign http:\/\/t.co\/PnK7pFek
252098307	Tue Oct 23 11:39:02 +0000 2012	es	Antonio Lozano, writer and teacher of the Master of Communication Design Labs of next 2013 edition, has just published two children's books.
7163612	Tue Oct 23 12:12:37 +0000 2012	en	A partir de 2013, a Newsweek s\u00f3 sair\u00e1 no digital. Creio que em 5 anos tamb\u00e9m n\u00e3o haver\u00e1 grandes diferen\u00e7as entre e-books e web.
369375818	Tue Oct 23 12:13:56 +0000 2012	en	The President's Budget for Fiscal Year 2013 (Kindle Edition) newly tagged \
